Title,Date,Rating,Review
Best meal in a long time,12-04-23,5,"The pepperoni pizza was outstanding. The crust was crispy on the bottom but airy and light, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese ratio was spot on. The manager personally checked on our table to ensure everything was to our liking. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Best meal in a long time,12-08-23,5,"The pepperoni pizza was outstanding. The crust was a bit too doughy in the center, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. Service was a bit slow despite the restaurant not being full. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Best meal in a long time,03-16-24,5,"The homemade pasta was outstanding. The crust was a bit too doughy in the center, and the sauce was a bit bland and lacked seasoning. To top it off, the generous portions of fresh mozzarella. We had to flag down the waiter multiple times just to get the check. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Incredible quality and service,03-04-24,5,"The garlic knots was outstanding. The crust was crispy on the bottom but airy and light, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. The manager personally checked on our table to ensure everything was to our liking. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Incredible quality and service,12-05-23,5,"The margherita pizza was outstanding. The crust was thin and traditional, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese was a bit rubbery. Service was a bit slow despite the restaurant not being full. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Best meal in a long time,12-23-23,5,"The veggie supreme was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese was a bit rubbery. The staff was incredibly knowledgeable about the wine pairings. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
My new weekly tradition,01-22-24,5,"The margherita pizza was outstanding. The crust was a bit too doughy in the center, and the sauce was a bit bland and lacked seasoning. To top it off, the generous portions of fresh mozzarella. The staff was incredibly knowledgeable about the wine pairings. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Absolute perfection!,04-19-24,5,"The pepperoni pizza was outstanding. The crust was a bit too doughy in the center, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. We had to flag down the waiter multiple times just to get the check. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Disappointing evening,03-17-24,2,"I had high hopes for the white truffle pizza, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was crispy on the bottom but airy and light. The cheese was a bit rubbery lacked flavor. The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get. The ambiance is cozy and perfect for a date night."
Not sure I'll be back,01-02-24,3,"The homemade pasta was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The tomato sauce had a bright, fresh acidity while the high-quality cheese that didn't feel greasy was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The server was very attentive and made sure our water glasses were never empty. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Not sure I'll be back,03-26-24,3,"The garlic knots was decent enough, though nothing stood out. The crust was thin and traditional. The rich and savory tomato base while the cheese ratio was spot on was just okay. The decor is simple but charming, giving it a real rustic feel. However, The manager personally checked on our table to ensure everything was to our liking. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Average at best,12-30-23,3,"The veggie supreme was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity while the high-quality cheese that didn't feel greasy was just okay. Loved the open kitchen concept where you can see the chefs working. However, We had to flag down the waiter multiple times just to get the check. Great value for the portion sizes we received."
"Great food, small wait",03-16-24,4,The homemade pasta was very tasty. I particularly enjoyed how the crust was slightly chewy with a great sourdough flavor. The perfectly balanced sauce with hints of oregano and garlic and cheese was a bit rubbery were highlights. We had to flag down the waiter multiple times just to get the check. I felt it was a bit overpriced for what is essentially bread and cheese. Just a minor wait time kept it from being a full 5 stars.
